Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Berghuisstraat 3,Beverwijk,€ 300.000,124 m²,71 m²,1950,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.945
Anton Koolhaaspad 6,Arnhem,€ 350.000,120 m²,118 m²,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.155
Zevenbergenstraat 13,Eindhoven,€ 350.000,135 m²,105 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.930
Valkseweg 48,Barneveld,€ 625.000,347 m²,194 m²,1981,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan drukke weg,Achtertuin en voortuin,830
Maastrichterweg 62 64,Valkenswaard,€ 1.195.000,1.035 m²,252 m²,2008,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,,Achtertuin en voortuin,3.120
Willem de Zwijgerlaan 61,Kaatsheuvel,€ 385.000,242 m²,116 m²,1961,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,650
Plantage 174,Beverwijk,€ 550.000,211 m²,144 m²,1978,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Lessenaardak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,
Vaartweg 16,Dongen,€ 575.000,1.035 m²,173 m²,1950,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Beschutte ligging, landelijk gelegen en vrij uitzicht",Achtertuin,650
Prins Alexandererf 43,Nunspeet,€ 335.000,135 m²,91 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,9.245
Oud-Ehrenstein 12,Amsterdam,€ 800.000,171 m²,106 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk,Achtertuin en voortuin,13.625
Schutsboom 51,Schijndel,€ 550.000,484 m²,131 m²,1966,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.460
Hertenhoek 18,Prinsenbeek,€ 439.500,203 m²,100 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,D,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,11.035
Kanaaldijk 126,Koedijk (Gem. Alkmaar),€ 895.000,369 m²,184 m²,2008,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,A,,"Achtertuin, voortuin en zijtuin",2.485
Sterappelhof 10,Zoetermeer,€ 425.000,83 m²,148 m²,2001,Bestaande bouw,"Herenhuis, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan water, beschutte ligging, in woonwijk en open ligging","Achtertuin, tuin rondom en voortuin",5.270
Marijkestraat 6,Landgraaf,€ 160.000,140 m²,80 m²,1953,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.430
Bilderdijkstraat 5,Zutphen,€ 249.000,127 m²,88 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.695
Strohulzen 28,Boxtel,€ 375.000,228 m²,99 m²,1999,Bestaande bouw,"Eengezinswoning, hoekwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin,7.860
Bikkeldam 24,Horssen,€ 825.000,640 m²,222 m²,2008,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin",1.110
Granaat 11,Eindhoven,€ 875.000,393 m²,261 m²,1994,Bestaande bouw,"Villa, geschakelde woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,2.065
Jacob Marisstraat 10,Zwijndrecht,€ 250.000,112 m²,96 m²,1954,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,1.300
Nico Kolenbergstraat 15,Lutjebroek,€ 498.000,450 m²,115 m²,1971,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,"Aan rustige weg, aan vaarwater, in centrum en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.130
De Schokker 18,Egmond aan Zee,€ 395.000,198 m²,123 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,550
Molenstraat 21,Oudenbosch,€ 189.000,85 m²,64 m²,1940,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Aan drukke weg,Achtertuin,4.230
Kloeckenmorgen 13,Westervoort,€ 299.500,133 m²,114 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.085
IJsvogel 17,Lathum,€ 775.000,480 m²,166 m²,1998,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,A,Aan water en vrij uitzicht,"Achtertuin, voortuin en zijtuin",720
Westerdokstraat 7,Almelo,€ 245.000,103 m²,107 m²,1930,Bestaande bouw,"Eengezinswoning, eindwoning",Schilddak bedekt met pannen,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,2.380
Jenniskensstraat 10,Vierlingsbeek,€ 290.000,322 m²,111 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg,Achtertuin en voortuin,2.380
Steeneikzoom 4,Zoetermeer,€ 444.000,122 m²,128 m²,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,7.950
Oeverstraat 36 -38,Rotterdam,€ 399.000,37 m²,65 m²,1909,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,,,3.360
Peelseloop 5,Heesch,€ 495.000,283 m²,162 m²,2004,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer,3 woonlagen,A,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,1.225
Vrijheidslaan 66,Breukelen,€ 389.000,170 m²,115 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.825
Sixmastins 26,Stiens,€ 200.000,271 m²,125 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,7.265
Fazant 5,Doorn,€ 400.000,123 m²,106 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.822
Joh Poststraat 24,Nieuwlande,€ 439.500,663 m²,199 m²,1927,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,In bosrijke omgeving,Tuin rondom,
Albastdijk 69,Roosendaal,€ 275.000,221 m²,95 m²,1975,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin,4.490
Sevenumse Dijk 17,Maasbree,€ 475.000,6.897 m²,120 m²,1970,Bestaande bouw,"Eengezinswoning, vrijstaande woning (bedrijfs- of dienstwoning)",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,,Tuin rondom,925
Isabellagriend 1,Herten,€ 1.135.000,1.060 m²,251 m²,2015,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, aan water, in bosrijke omgeving, in woonwijk en landelijk gelegen","Achtertuin, voortuin en zijtuin",2.080
Heer Halewijnpad 10,Amersfoort,€ 425.000,149 m²,130 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan park, aan rustige weg, aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",1.695
George Gershwinstraat 98,Zaandijk,€ 415.000,122 m²,116 m²,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,3.165
Schoolstraat 41,Zutphen,€ 232.000,92 m²,73 m²,1932,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",F,In woonwijk,Achtertuin,2.485
Lopikerweg oost 163 b,Lopikerkapel,€ 725.000,1.440 m²,161 m²,1980,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, buiten bebouwde kom, open ligging en vrij uitzicht",Tuin rondom,535
Delhoevelaan 2,Rozendaal,€ 695.000,545 m²,159 m²,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zonneterras",1.705
Simon Vestdijklaan 6,Amstelveen,€ 550.000,126 m²,104 m²,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.130
Beryldreef 23,Emmen,€ 325.000,448 m²,159 m²,1998,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.020
De Klencke 22,Zuidlaren,€ 269.000,157 m²,110 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.455
Laan van Avant-Garde 316,Rotterdam,€ 535.000,138 m²,142 m²,2007,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,A+,In woonwijk en vrij uitzicht,Achtertuin en voortuin,12.780
Fluweelmos 25,Houten,€ 575.000,158 m²,133 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.465
Britsezoom 50,Nieuwerkerk aan den IJssel,€ 725.000,252 m²,171 m²,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,795
Hooistraat 22,Tilburg,€ 259.500,115 m²,94 m²,1919,Bestaande bouw,"Eengezinswoning, hoekwoning",Schilddak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,2.990
Koningin Wilhelminalaan 46,Naarden,€ 549.000,185 m²,152 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,735
Saxofoonweg 89,Almere,€ 370.000,134 m²,129 m²,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,10.990
Berghallee 9,Duiven,€ 269.500,121 m²,92 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,1.415
Veldhofstraat 168,Eygelshoven,€ 199.000,199 m²,115 m²,1927,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,"3 woonlagen, een vliering en een kelder",E,In woonwijk,Achtertuin,
Duivenhorst 7,Den Dolder,€ 750.000,228 m²,167 m²,2016,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",2.600
De Beukenhaag 8,Zutphen,€ 585.000,535 m²,172 m²,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras",1.820
Jan Kortlandstraat 21,Schoonhoven,€ 350.000,86 m²,100 m²,1895,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,Aan park en in centrum,Achtertuin,3.670
Emmastraat 71,Lekkerkerk,€ 375.000,226 m²,96 m²,1945,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin,1.095
Beukenlaan 43,Oud Gastel,€ 350.000,231 m²,111 m²,1992,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.615
St. Janstraat 14,Hoeven,€ 419.500,296 m²,149 m²,1974,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In centrum,Tuin rondom,4.765
Pelzerpark 33,Epe,€ 879.000,662 m²,170 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,1.145
Tiendvrij 5,Leusden,€ 789.000,535 m²,135 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, beschutte ligging en in woonwijk",Tuin rondom,1.790
Pasbrink 68,Winterswijk,€ 299.000,135 m²,120 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan bosrand, aan rustige weg en in woonwijk",Achtertuin en voortuin,5.285
Oud-Loosdrechtsedijk 226 a,Loosdrecht,€ 1.395.000,755 m²,187 m²,2013,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met riet,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,Beschutte ligging,"Achtertuin, voortuin en zijtuin",2.150
Markkant 51,Oosterhout (NB),€ 469.000,179 m²,155 m²,2001,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak bedekt met metaal,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,In woonwijk,Achtertuin en voortuin,2.105
Burgwal 79,Kampen,€ 695.000,132 m²,252 m²,1900,Bestaande bouw,"Grachtenpand, tussenwoning",Zadeldak bedekt met pannen,8 kamers (7 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een vliering,Niet verplicht,Aan water en in centrum,Achtertuin en zonneterras,5.180
Dopheide 32,Amersfoort,€ 439.000,188 m²,121 m²,1992,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.668
Breedelaan 131,Heiloo,€ 455.000,160 m²,108 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.140
Burgemeester Janssenstraat 12,Venray,€ 292.500,140 m²,105 m²,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg,Achtertuin en voortuin,1.660
Leidekkersgilde 18,Houten,€ 450.000,234 m²,111 m²,1987,Bestaande bouw,"Eengezinswoning, hoekwoning",Lessenaardak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.855
van der Leckstraat 5,Duiven,€ 359.000,249 m²,113 m²,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.525
Arthur Sullivanhof 20,Utrecht,€ 525.000,129 m²,118 m²,2004,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.335
Eikenlaan 9,Bunde,€ 395.000,319 m²,131 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,In woonwijk,Achtertuin en voortuin,5.300
Tulpstraat 14,Sint-Oedenrode,€ 320.000,155 m²,98 m²,1957,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,1.400
Vermeerstraat 14,Amersfoort,€ 950.000,193 m²,192 m²,1924,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,B,In woonwijk,Achtertuin en voortuin,€ 4.458
Foxel 33,Emmer-Compascuum,€ 490.000,1.137 m²,168 m²,1995,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom en zonneterras,405
Aaldersbeeklaan 99,Dinxperlo,€ 399.000,960 m²,112 m²,1973,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,F,"Aan rustige weg, beschutte ligging en in woonwijk",Tuin rondom,1.805
Eikenlaan 14,Leiderdorp,€ 569.000,115 m²,110 m²,1938,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,,Achtertuin,1.900
Fioringras 20,Leeuwarden,€ 442.500,357 m²,175 m²,1971,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,Aan rustige weg en in woonwijk,"Achtertuin, patio/atrium en voortuin",1.960
De Rosmolen 108,Westervoort,€ 275.000,131 m²,110 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.330
Achter de Gracht 3,Huissen,€ 695.000,413 m²,184 m²,1993,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, beschutte ligging en in centrum","Achtertuin, tuin rondom, voortuin en zijtuin",785
Mollekade 15,Heinenoord,€ 450.000,250 m²,119 m²,,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een vliering,E,"Aan rustige weg, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",950
Vicarielaan 79,IJsselstein,€ 340.000,151 m²,84 m²,1960,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.510
Ben Goerionsingel 24,Ede,€ 400.000,253 m²,100 m²,1992,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.370
Gitaarhof 8,Etten-Leur,€ 450.000,295 m²,138 m²,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.655
Ruggeweg 12,Brielle,€ 399.500,275 m²,135 m²,1970,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,2.530
Weersterweg 11,Wons,€ 400.000,515 m²,231 m²,1898,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (5 slaapkamers),1 badkamer,2 woonlagen en een kelder,D,Aan rustige weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",305
Meireweikes 22,Oud Gastel,€ 345.000,154 m²,123 m²,1989,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.615
